cik,cik_full,ticker,accn,form,fy,10k_path
1404123,0001404123,ONEM,0001564590-21-013897,10-K,2020,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/0001564590-21-013897.txt
1782170,0001782170,RELY,0001564590-21-013897,10-K,2020,https://www.sec.gov/Archives/edgar/data/1782170/000156459021013897/0001564590-21-013897.txt
1804591,0001804591,ME,0001193125-21-092793,10-K,2020,https://www.sec.gov/Archives/edgar/data/1804591/000119312521092793/0001193125-21-092793.txt
1276671,0001276671,ITCB,0001193125-21-092793,10-K,2020,https://www.sec.gov/Archives/edgar/data/1276671/000119312521092793/0001193125-21-092793.txt
1478320,0001478320,ADPT,0001564590-22-005228,10-K,2021,https://www.sec.gov/Archives/edgar/data/1478320/000156459022005228/0001564590-22-005228.txt
1627272,0001627272,OR,0001564590-22-005228,10-K,2021,https://www.sec.gov/Archives/edgar/data/1627272/000156459022005228/0001564590-22-005228.txt
1834488,0001834488,NABL,0001564590-22-005228,10-K,2021,https://www.sec.gov/Archives/edgar/data/1834488/000156459022005228/0001564590-22-005228.txt
1714174,0001714174,BUR,0001564590-22-005228,10-K,2021,https://www.sec.gov/Archives/edgar/data/1714174/000156459022005228/0001564590-22-005228.txt
1815442,0001815442,KYMR,0001564590-21-012240,10-K,2020,https://www.sec.gov/Archives/edgar/data/1815442/000156459021012240/0001564590-21-012240.txt
1084961,0001084961,ECPG,0001084961-21-000017,10-K,2020,https://www.sec.gov/Archives/edgar/data/1084961/000108496121000017/0001084961-21-000017.txt
894081,0000894081,ATSG,0000894081-21-000045,10-K,2020,https://www.sec.gov/Archives/edgar/data/894081/000089408121000045/0000894081-21-000045.txt
1796022,0001796022,STEP,0001796022-21-000044,10-K,2021,https://www.sec.gov/Archives/edgar/data/1796022/000179602221000044/0001796022-21-000044.txt
67625,0000067625,MNR,0001493152-21-028191,10-K,2021,https://www.sec.gov/Archives/edgar/data/67625/000149315221028191/0001493152-21-028191.txt
