ticker,beta,trailingPE,priceToSalesTrailing12Months,priceToBook,trailingPegRatio,debtToEquity,returnOnEquity
EQIX,0.358441,151.97554,9.919979,6.141067,,142.514,0.04048
FDX,1.286753,12.172598,0.65481824,2.35126,,147.67,0.21384001
BSX,0.867532,57.16515,5.461426,3.8047428,,57.478,0.07219
MCO,1.17974,29.107687,10.118765,24.854652,,307.865,0.97449
WM,0.82961,37.089806,3.690697,8.912283,,181.865,0.24409
GD,1.078441,20.436834,1.7199901,4.2220883,,97.405,0.2173
MET,1.25974,11.108144,0.7951768,0.81408,,157.915,0.07728
VRTX,0.595324,28.26697,8.404983,6.3359227,,9.2,0.24639
MRNA,1.335722,8.478313,4.8497477,5.6612535,,5.758,1.09609
EMR,1.514285,24.403143,3.0451338,5.619725,,72.891,0.25335
SLB,2.054201,33.09278,2.3563743,4.04367,,98.188,0.13883
PXD,1.838961,37.910828,4.0611672,2.505947,,31.32,0.080240004
MAR,1.74961,115.87535,18.902409,58.69812,,1163.943,0.8143
APD,0.804675,24.571854,4.979139,3.791288,,58.574,0.15413
HUM,0.923116,21.259447,0.6817692,3.4466379,,76.778,0.1668
FTNT,1.153246,101.249245,17.588827,49.15242,,94.32,0.59995997
ECL,1.010643,43.753513,3.9438744,7.0725355,,90.913,0.17579001
ADSK,1.400519,35.425102,10.962109,36.13214,,238.261,1.9555299
NXPI,1.392727,33.070724,4.6641173,7.300972,,137.593,0.20143
AIG,1.37922,9.473106,1.0593542,0.7842806,,48.051,0.08906
MPC,1.949776,5.4309983,0.39541426,1.7017113,,79.974,0.07715
ROP,1.063896,42.698112,7.5643544,4.184236,,73.434,0.10528
CNC,0.535225,67.8783,0.43344766,1.8691713,,85.098,0.02755
DG,0.499239,20.163229,1.4065236,7.7221675,,227.684,0.37108
IQV,1.400519,59.396793,3.2936616,7.6509733,,215.011,0.1312
CTSH,1.138736,24.80395,2.5244849,3.998272,,13.802,0.18722999
DOW,1.617021,7.744322,0.8601202,2.6846936,,97.457,0.39372003
APH,1.262555,32.084034,4.198617,7.674372,,79.179,0.26711
KMB,0.502857,22.024822,2.2589037,92.00995,,1268.741,3.16044
MSCI,0.974545,61.542477,21.580648,,,,
PRU,1.550969,5.966556,0.6671412,0.6707283,,54.392,0.118090004
MNST,1.086753,29.143356,8.301738,7.062362,,0.318,0.28101
SRE,0.676883,42.917385,3.9212084,2.016715,,107.974,0.0478
INFO,1.045748,70.07097,9.299525,4.8627715,,52.17,0.13366
IDXX,0.940259,61.77105,14.564601,60.562305,,127.497,1.26533
BAX,0.641662,35.854378,3.4257517,4.8632755,,73.057,0.14055
KHC,1.078961,21.501616,1.8613123,0.978639,,47.922,0.04646
ADM,0.89559,17.695463,0.571958,2.0846798,,44.843,0.12636
HLT,1.234805,1014.3571,19.270353,,,,
SYY,1.343896,65.375374,0.7975075,26.662584,,698.409,0.45066002
TRV,0.775584,12.156012,1.2486744,1.49981,,25.602,0.12922
HSY,0.408311,30.21777,4.8556595,16.957796,,185.261,0.62283003
MCK,0.751688,,0.17042598,,,,-1.26995
EXC,0.481849,25.222221,1.2114863,1.2464957,,121.723,0.05409
DD,1.257142,7.105628,1.795188,1.4957689,,40.603,0.04642
A,1.043262,34.81472,6.555701,7.6923504,,54.017,0.23582001
GIS,0.506493,18.81753,2.2131367,4.323622,,122.245,0.22723
ALGN,,51.460445,9.525014,10.705157,,2.834,0.22518998
AZO,0.89259,18.381285,2.568838,,,,
HPQ,1.005469,6.870544,0.6245248,,,,
MCHP,1.550969,60.40245,5.944985,6.7172604,,136.19,0.17362
DXCM,0.792207,79.960396,17.717354,19.23199,,88.175,0.29119
CDNS,1.074805,62.072582,14.339969,16.21445,,13.202,0.27576
CARR,,18.40353,1.9288276,5.7623715,,145.94,0.24882999
DLR,0.219969,57.88275,8.818756,2.3548791,,87.777,0.03954
CTAS,1.46224,35.358814,5.2782245,11.009252,,73.585,0.32173002
ANET,1.167792,48.85911,13.340434,9.575111,,1.594,0.22579001
RSG,0.76935,33.311344,3.667593,4.518773,,107.99,0.1409
CTVA,0.789473,23.396914,2.4412267,1.520751,,9.9,0.071609996
AFL,0.98909,9.917302,1.7915713,1.2082181,,32.579,0.12836
WMB,1.463376,40,4.0259604,3.567156,,160.658,0.07357
APTV,2.104922,39.738186,2.0142055,3.8116827,,51.818,0.11026
SIVB,1.898557,17.923914,5.917663,2.801659,,,0.16555999
STT,1.606753,12.367762,2.575388,1.2112554,,,0.095819995
TT,1.222857,27.887451,2.6803648,5.689187,,74.62,0.21420999
XEL,0.368311,23.64227,2.8594542,2.4535935,,163.635,0.10847
ALL,0.815017,11.604801,0.71221316,1.4619223,,33.601,0.18642999
YUM,1.109398,23.117033,5.329286,,,,
PPG,1.154805,21.517391,1.8571199,4.861612,,120.109,0.24354
LVS,1.486233,,6.5886946,15.401672,,598.394,-0.54235
GLW,1.076533,39.482075,2.4592245,2.731909,,63.059,0.13255
WELL,1.007272,82.4831,8.15818,2.2035518,,78.371,0.02614
TDG,1.563898,62.968056,7.4037375,,,,
TSN,0.817142,11.431654,0.73574656,1.963506,,55.287,0.18412
RMD,0.300557,73.24443,10.87452,12.033997,,31.398,0.1752
OTIS,,28.288675,2.3523016,,,,
ODFL,1.023896,40.11995,7.5854034,10.911384,,2.922,0.28689
AMP,1.610389,15.78604,2.5246975,5.71935,,61.451,0.37982
KR,0.446046,41.584904,0.2988162,4.2719803,,218.165,0.10453
IFF,1.037402,108.85175,3.2677438,1.5091178,,57.1,0.01825
NUE,1.436883,8.296435,1.2525959,2.928351,,41.688,0.42227
ROST,1.025342,20.947367,1.8212439,8.304919,,142.802,0.45521
AVB,0.951168,33.60055,14.920532,3.1415575,,73.709,0.09413
TROW,1.216103,10.770158,4.4009857,3.9131508,,1.52,0.36981
PEG,0.58909,,3.6965668,2.374709,,141.986,-0.04427
CBRE,1.404675,22.235432,1.2228374,3.9289098,,54.8,0.19532
PCAR,0.938836,18.258965,1.3528543,2.808555,,101.83,0.1697
MTD,1.034285,44.030655,8.9226675,202.84619,,1064.269,2.50535
EQR,0.808831,30.708467,13.365995,3.059575,,74.628,0.098179996
MTCH,,54.665607,10.307141,,,,
AJG,0.68987,34.27304,4.2522902,3.8995152,,68.386,0.13818
CMI,1.026355,13.739399,1.2444218,3.6986108,,49.271,0.23535
ROK,1.372987,23.355785,4.4840765,13.129126,,163.071,0.66535
BF-A,0.813028,40.100002,8.875668,10.492233,,80.397,0.28802
KEYS,0.960519,32.510456,5.756876,7.480504,,53.462,0.25250998
VRSK,0.756883,42.68224,9.993513,10.863463,,124.735,0.27185
AME,1.311785,30.594116,5.422871,4.3780932,,37.024,0.15444
BLL,0.476938,37.125206,2.205288,7.9049373,,237.052,0.24055
FAST,1.218181,34.51299,5.2372646,10.310378,,20.855,0.30422002
ABC,0.507349,19.68471,0.14148918,135.57317,,1335.606,
CPRT,1.054738,29.214457,9.883027,7.579869,,14.059,0.30642
NDAQ,0.83948,25.098951,4.902677,4.545287,,100.189,0.18642999
TWTR,0.705454,,5.579756,3.7264938,,75.98,-0.02416
ARE,0.843361,29.50568,14.006777,2.0009995,,48.476,0.040289998
WEC,0.250621,22.277107,3.5067298,2.6733558,,140.283,0.11915
ES,0.402077,24.250437,2.9846256,1.9910786,,133.362,0.08315
OKE,1.771755,21.192488,2.2055166,5.169492,,246.796,0.23832001
LEN,1.497662,6.299229,1.0038903,1.3008119,,22.158,0.22798
ANSS,1.241558,59.465965,14.718295,6.3559437,,20.28,0.117819995
EFX,1.430309,39.655113,5.711735,7.7287145,,153.863,0.21561001
AWK,,36.90805,7.1571245,4.0965576,,151.617,0.18368
LUV,1.121558,,1.9342303,2.406306,,125.044,0.0001
DAL,1.298023,,0.9588933,8.947626,,1354.451,-0.02247
MKC,0.458701,35.304966,4.331099,6.067402,,125.387,0.18172
SWK,1.382857,15.0375595,1.5777417,2.5636082,,43.571,0.16841
CERN,0.842878,54.92353,4.7803035,7.2055874,,48.47,0.12667
ALB,1.5271,99.8553,6.5791717,3.8278072,,37.191,0.05707
LH,1.013506,9.594849,1.5634365,2.461792,,60.08,0.29403
EXR,0.323116,36.263004,17.044918,8.732836,,173.798,0.24719
LYV,1.32173,,6.866833,,,3306.182,-2.4123101
HRL,0.078567,31.012049,2.4531038,4.0046678,,48.708,0.1356
